n_samples,n_features,wall_s,cpu_s,ram_change_gib,peak_gpu_gib,gpu_info,iter
500,50,84.83964371681213,84.68999999999983,-0.0146980285644531,0.0396080017089843,"GPU 0: util=17.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
500,100,85.30618834495544,85.3900000000001,1.1444091796875e-05,0.0442914962768554,"GPU 0: util=16.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
500,250,86.701504945755,86.80000000000018,0.0011520385742187,0.0591859817504882,"GPU 0: util=17.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
500,500,87.8280553817749,87.92999999999984,0.0029563903808593,0.084634780883789,"GPU 0: util=21.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
500,750,90.17158818244934,90.32999999999991,0.0046768188476562,0.112098217010498,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
500,1000,93.39433121681212,93.56999999999994,0.0060043334960937,0.1419277191162109,"GPU 0: util=28.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
750,50,101.58791732788086,101.76,-0.0368080139160156,0.0469799041748046,"GPU 0: util=16.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
750,100,101.46846222877502,101.66999999999985,2.288818359375e-05,0.0529589653015136,"GPU 0: util=16.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
750,250,103.83017206192017,104.01,0.0013999938964843,0.0708956718444824,"GPU 0: util=18.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
750,500,108.51773715019226,108.7099999999998,0.0020065307617187,0.1021833419799804,"GPU 0: util=22.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
750,750,114.94406962394714,115.36000000000011,0.0003395080566406,0.1374025344848632,"GPU 0: util=25.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
750,1000,120.88259625434875,121.16999999999962,0.00653076171875,0.1737594604492187,"GPU 0: util=24.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
1000,50,119.00643849372864,119.29000000000042,-0.052947998046875,0.0527544021606445,"GPU 0: util=15.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
1000,100,119.91243815422058,120.19000000000004,3.4332275390625e-05,0.0606656074523925,"GPU 0: util=15.0%, mem=0.0/0.0GiB; GPU 1: util=0.0%, mem=0.0/0.0GiB",1
